"Renewable energy share of electricity capacity and generation (%) by Region/country/area, Indicator and Year"

"Region/country/area","RE share of electricity generation (%) 2000","RE share of electricity generation (%) 2001","RE share of electricity generation (%) 2002","RE share of electricity generation (%) 2003","RE share of electricity generation (%) 2004","RE share of electricity generation (%) 2005","RE share of electricity generation (%) 2006","RE share of electricity generation (%) 2007","RE share of electricity generation (%) 2008","RE share of electricity generation (%) 2009","RE share of electricity generation (%) 2010","RE share of electricity generation (%) 2011","RE share of electricity generation (%) 2012","RE share of electricity generation (%) 2013","RE share of electricity generation (%) 2014","RE share of electricity generation (%) 2015","RE share of electricity generation (%) 2016","RE share of electricity generation (%) 2017","RE share of electricity generation (%) 2018","RE share of electricity generation (%) 2019","RE share of electricity generation (%) 2020","RE share of electricity generation (%) 2021","RE share of electricity generation (%) 2022","RE share of electricity generation (%) 2023","RE share of electricity capacity (%) 2000","RE share of electricity capacity (%) 2001","RE share of electricity capacity (%) 2002","RE share of electricity capacity (%) 2003","RE share of electricity capacity (%) 2004","RE share of electricity capacity (%) 2005","RE share of electricity capacity (%) 2006","RE share of electricity capacity (%) 2007","RE share of electricity capacity (%) 2008","RE share of electricity capacity (%) 2009","RE share of electricity capacity (%) 2010","RE share of electricity capacity (%) 2011","RE share of electricity capacity (%) 2012","RE share of electricity capacity (%) 2013","RE share of electricity capacity (%) 2014","RE share of electricity capacity (%) 2015","RE share of electricity capacity (%) 2016","RE share of electricity capacity (%) 2017","RE share of electricity capacity (%) 2018","RE share of electricity capacity (%) 2019","RE share of electricity capacity (%) 2020","RE share of electricity capacity (%) 2021","RE share of electricity capacity (%) 2022","RE share of electricity capacity (%) 2023"
"World",18.31,17.82,17.76,17.29,17.73,17.89,18.04,17.82,18.54,19.30,19.43,19.73,20.79,21.42,22.18,22.66,23.50,24.26,24.88,25.85,27.65,27.73,29.07,-,21.41,21.81,21.58,21.55,21.73,21.93,21.98,22.25,22.82,23.53,24.15,25.06,26.12,27.19,28.19,29.53,30.76,32.06,33.13,34.59,36.59,38.36,40.26,43.04
"Africa",19.06,19.50,17.97,17.30,16.31,17.60,17.58,16.80,17.21,17.88,17.76,17.48,17.22,17.75,18.08,17.99,18.18,18.74,19.83,20.63,22.46,23.08,22.78,-,22.44,22.04,22.08,21.55,21.30,20.45,19.90,19.21,18.92,19.44,19.17,18.84,18.72,19.07,19.35,19.84,19.84,20.89,21.34,21.60,22.32,22.63,23.62,24.25
"Asia",13.65,14.38,13.75,13.21,13.74,13.65,13.93,13.68,15.06,15.08,15.56,15.03,16.99,17.24,18.92,19.68,20.45,21.17,21.68,22.65,23.97,24.71,26.15,-,17.51,18.18,18.04,18.47,18.64,18.62,18.37,18.47,19.45,20.33,20.96,21.71,22.48,24.20,25.75,27.16,28.61,30.35,31.66,33.05,35.67,37.66,39.67,43.41
"Central America and the Caribbean",22.35,20.10,20.42,20.66,23.00,23.18,22.57,22.39,23.62,22.97,24.94,24.44,26.30,26.74,26.56,27.72,28.88,33.44,33.53,31.14,35.62,37.80,38.33,-,23.92,23.34,23.44,23.95,23.72,24.47,24.28,23.70,23.69,23.47,23.69,24.92,26.69,26.39,27.60,30.50,32.57,34.11,34.92,35.56,35.71,37.17,38.09,38.59
"Eurasia",18.92,18.96,18.86,17.96,20.21,18.81,18.26,17.57,16.03,17.81,17.95,17.42,17.37,18.91,16.86,18.42,19.64,19.09,20.86,23.34,24.78,24.02,23.48,-,23.93,23.96,23.95,23.77,23.73,23.60,23.43,23.63,23.79,23.97,24.41,24.74,25.22,25.39,24.56,25.99,25.52,26.19,26.98,27.46,28.72,29.66,30.12,30.79
"Europe",18.07,18.06,16.69,15.87,17.05,17.71,17.74,18.69,20.16,21.87,23.11,23.14,26.12,28.71,30.50,31.27,31.64,31.88,34.19,35.64,40.15,39.29,40.47,-,23.17,23.59,24.13,24.89,25.28,26.37,27.04,27.79,28.77,30.21,31.51,34.05,36.30,38.09,39.30,41.29,42.94,44.48,45.48,47.90,49.83,51.86,54.43,56.90
"Middle East",1.73,1.95,2.29,2.83,2.81,4.20,4.16,3.68,1.52,1.63,2.07,2.32,2.29,2.43,1.96,1.78,2.14,1.93,2.12,3.90,3.54,3.01,3.41,-,4.16,4.01,4.18,4.53,6.27,6.67,6.84,6.97,6.34,5.93,5.79,5.59,5.81,5.68,5.94,5.64,5.72,5.73,6.19,6.88,7.31,7.78,8.89,9.92
"North America",15.19,13.70,15.21,15.00,14.82,15.02,15.44,14.83,15.69,16.72,16.28,18.35,18.31,19.06,19.43,19.63,21.06,22.98,22.51,23.23,25.38,25.46,27.02,-,16.88,17.31,16.61,16.09,15.96,16.02,16.30,16.82,17.40,18.15,18.88,19.53,20.90,21.64,22.49,24.08,25.51,26.44,27.25,28.75,30.55,32.35,33.66,35.25
"Oceania",18.67,16.76,17.49,17.66,18.52,17.83,18.27,17.71,17.14,17.43,18.61,20.37,20.01,22.42,24.29,23.40,24.67,25.20,26.61,28.57,30.64,34.19,38.19,-,24.10,24.20,23.36,23.15,23.67,25.66,25.71,25.38,25.52,25.44,25.51,26.00,27.51,29.08,30.22,29.74,31.57,34.30,37.88,41.74,44.92,47.41,50.21,53.27
"South America",77.29,74.62,75.84,75.64,74.08,75.47,75.13,74.48,71.98,73.54,70.56,72.30,68.19,64.64,63.23,62.73,65.32,67.60,70.04,70.74,71.64,68.46,74.97,-,69.88,69.65,68.56,68.19,67.64,67.91,68.11,68.14,67.24,66.60,65.40,65.15,64.36,62.60,63.09,64.33,65.15,65.58,66.32,67.18,67.51,68.29,69.92,71.42
"Afghanistan",93.54,93.54,93.54,80.63,62.86,63.01,70.90,69.03,66.73,79.65,81.75,74.40,79.80,81.01,85.46,87.58,87.73,86.86,82.68,87.84,87.42,78.27,77.98,-,86.56,86.56,86.56,83.80,78.66,78.74,79.00,79.07,78.14,62.07,58.78,51.47,55.10,55.37,55.79,56.12,59.61,61.10,61.09,57.93,57.90,58.39,64.04,64.04
"Albania",96.15,95.31,93.95,97.86,97.50,98.71,98.32,97.48,100.00,99.98,99.99,98.59,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,-,86.64,86.64,86.64,86.64,86.64,86.64,86.64,86.66,100.00,100.00,100.00,100.00,94.38,94.79,94.63,94.83,95.13,95.44,95.56,95.69,96.13,96.31,96.40,96.57
"Algeria",0.21,0.26,0.21,0.90,0.80,1.69,0.62,0.61,0.70,0.89,0.38,0.94,1.02,0.49,0.61,0.52,0.65,0.66,1.06,1.07,1.10,0.95,0.95,-,4.52,4.52,4.18,4.10,3.93,3.52,3.02,2.81,2.57,1.93,2.10,2.09,1.86,1.59,1.59,1.66,2.49,2.88,2.72,2.46,2.31,1.96,2.22,2.12
"American Samoa",-,-,-,-,-,-,-,-,-,-,-,0.00,0.90,1.55,1.50,1.52,3.56,4.59,4.76,4.28,3.70,3.12,3.05,-,-,-,-,-,-,-,-,-,-,-,-,-,6.60,6.60,6.60,6.60,10.56,9.71,11.50,10.80,10.80,10.80,9.34,9.34
"Andorra",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.10,96.04,96.39,96.61,97.39,93.27,94.06,-,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,96.24,96.80,96.84,96.89,96.95,97.02,97.02,97.02
"Angola",74.78,73.86,75.97,74.20,85.21,89.43,82.38,85.95,85.74,75.16,74.81,68.57,57.40,45.99,47.68,46.34,52.57,64.42,72.31,72.85,80.51,73.99,76.30,-,61.16,54.38,54.38,54.38,71.29,71.29,71.18,76.62,77.19,77.19,66.95,59.15,51.22,44.18,43.63,42.57,55.85,51.13,57.12,59.39,61.60,61.60,63.30,63.44
"Anguilla",-,-,-,-,-,-,-,-,-,-,-,-,0.09,0.12,1.00,1.60,2.37,2.31,1.99,2.47,3.48,3.48,3.48,-,-,-,-,-,-,-,-,-,-,-,-,-,0.23,0.23,4.14,4.14,7.73,7.73,4.69,6.08,6.08,6.08,6.08,6.08
"Antigua and Barbuda",-,-,-,-,-,-,-,-,-,0.05,0.05,0.14,0.14,0.19,0.19,1.55,1.56,1.85,2.83,3.69,4.95,6.10,6.51,-,-,-,-,-,-,-,-,-,-,0.18,0.18,0.35,0.35,0.34,0.34,2.78,4.15,5.06,10.70,9.80,14.64,19.20,19.20,13.10
"Argentina",32.93,41.66,43.22,37.74,31.30,32.97,34.19,28.30,26.33,29.08,27.41,25.15,22.83,25.18,24.84,23.52,21.48,23.36,24.12,25.25,25.79,24.44,29.18,-,35.92,34.52,35.01,34.98,35.40,35.52,35.77,36.35,34.37,33.99,33.24,33.49,32.77,29.71,28.63,30.90,30.70,29.10,29.32,31.21,32.94,34.46,34.66,35.26
"Armenia",21.16,16.84,30.03,36.03,33.39,28.07,30.72,31.46,29.42,35.68,39.48,33.56,28.81,28.24,25.76,28.33,32.17,29.26,30.03,31.37,23.67,30.54,36.69,-,31.70,31.45,34.56,34.90,31.93,32.05,32.66,33.63,33.92,34.33,32.52,33.25,30.91,31.56,31.74,36.45,36.92,37.21,37.78,37.91,38.53,37.10,38.46,44.10
"Aruba",-,-,-,-,-,-,-,-,-,1.80,11.30,12.10,14.80,16.30,17.60,18.90,15.73,14.70,14.65,15.02,14.80,14.80,15.90,-,-,-,-,-,-,-,-,-,-,12.71,12.75,12.82,10.99,11.17,12.81,13.17,13.51,13.53,15.26,14.80,14.80,14.80,17.18,17.18
"Australia",8.37,8.09,7.85,8.43,8.18,8.79,9.30,8.64,8.11,7.50,8.60,10.35,10.49,13.11,14.59,13.29,14.48,15.58,17.02,19.57,22.45,26.50,30.67,-,16.04,16.19,15.39,15.28,15.87,18.07,18.19,18.11,18.08,18.12,18.49,19.13,20.97,22.80,24.24,23.96,25.93,29.08,33.58,38.26,42.22,45.02,48.07,51.50
"Austria",70.91,67.63,67.03,58.68,62.00,61.17,62.86,66.34,66.61,68.29,63.26,62.16,70.70,73.86,76.69,72.87,74.78,71.58,72.95,73.60,76.39,74.56,72.85,-,70.09,69.10,69.50,70.86,70.40,74.56,75.79,78.23,75.18,75.67,75.79,73.81,71.96,72.07,73.45,74.66,76.68,78.64,79.48,80.20,80.29,80.72,83.31,84.97
"Azerbaijan",8.20,6.86,10.80,11.60,12.67,13.16,10.26,10.82,10.31,12.25,18.42,13.19,7.92,6.96,5.98,7.41,8.78,8.12,8.13,7.33,5.47,5.80,6.70,-,18.77,18.08,17.68,17.10,17.12,18.81,18.23,17.90,17.68,15.48,15.59,15.76,15.97,14.99,15.23,14.78,14.96,15.03,16.31,16.87,17.00,16.52,16.61,20.28
"Bahamas",-,-,0.34,0.32,0.33,0.30,0.29,0.28,0.29,0.32,0.35,0.38,0.43,0.45,0.51,0.51,0.54,0.56,0.57,0.64,0.76,0.97,1.19,-,-,-,0.23,0.20,0.20,0.19,0.19,0.17,0.17,0.19,0.21,0.26,0.27,0.33,0.42,0.47,0.47,0.47,0.48,0.57,0.59,1.14,1.63,1.64
"Bahrain",-,-,-,-,-,-,-,-,0.01,0.01,0.01,0.01,0.00,0.00,0.04,0.04,0.04,0.04,0.04,0.06,0.06,0.12,0.25,-,-,-,-,-,-,-,-,-,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.08,0.10,0.10,0.10,0.12,0.12,0.22,0.49,0.60
"Bangladesh",7.81,6.60,5.91,4.96,4.21,3.52,3.21,2.45,2.17,1.65,2.18,2.30,2.18,2.00,1.74,2.00,2.02,2.01,1.66,1.52,1.50,1.51,1.70,-,6.09,5.61,5.03,4.90,4.54,4.25,4.19,4.11,3.87,3.74,3.55,3.49,3.56,3.64,3.52,3.38,2.90,3.16,2.65,2.59,2.62,3.26,3.15,3.60
"Barbados",0.00,0.02,0.02,0.02,0.02,0.04,0.03,0.09,0.09,0.12,0.15,0.25,0.31,0.43,0.98,1.34,1.33,2.31,2.30,3.41,5.44,7.33,8.40,-,0.02,0.08,0.07,0.07,0.07,0.12,0.12,0.31,0.31,0.41,0.51,0.63,0.75,0.23,0.65,1.17,5.36,5.86,6.14,11.17,15.69,19.48,19.16,19.16
"Belarus",0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.16,0.21,0.35,0.37,0.43,0.55,0.85,0.73,0.82,1.17,2.18,1.99,2.50,3.49,3.37,3.24,-,0.13,0.14,0.16,0.16,0.16,0.16,0.20,0.25,0.35,0.34,0.35,0.41,0.61,0.80,0.79,0.98,2.21,2.95,3.82,4.05,4.77,4.33,5.45,5.48
"Belgium",1.24,1.35,1.39,1.41,1.78,2.46,3.49,3.96,5.23,5.96,7.01,9.20,12.67,14.05,16.84,20.74,16.66,18.25,22.91,20.81,26.23,22.62,25.47,-,1.48,1.79,1.93,2.61,2.93,4.90,5.41,6.03,7.12,11.31,16.24,20.29,24.57,27.48,28.61,30.08,31.30,33.57,36.52,39.76,43.88,45.34,49.06,54.56
"Belize",52.56,57.21,55.90,22.90,39.38,43.83,77.90,76.16,85.71,68.23,89.09,90.24,86.56,89.73,89.84,85.48,85.92,86.17,82.26,62.62,95.43,81.02,89.71,-,64.61,64.61,63.68,43.47,43.47,46.67,39.45,40.80,40.80,39.59,45.97,45.97,46.11,46.12,46.12,46.12,46.12,48.41,48.51,50.01,50.01,50.01,50.01,50.01
"Benin",1.95,2.38,2.42,2.11,1.84,0.70,0.00,0.00,0.16,0.19,0.00,0.00,0.28,0.00,0.29,1.22,1.33,1.21,1.26,0.42,0.52,0.63,0.85,-,0.88,0.83,0.83,0.83,0.83,0.81,0.35,0.29,0.26,0.35,0.51,0.50,0.81,0.36,0.74,1.90,1.33,1.45,1.74,1.41,1.75,2.12,10.12,10.12
"Bonaire, Sint Eustatius and Saba",-,-,-,-,-,-,-,0.75,1.54,1.58,4.72,24.69,28.58,31.56,34.33,31.62,31.15,25.90,33.04,28.43,22.74,24.14,22.96,-,-,-,-,-,-,-,-,6.43,5.02,56.53,28.46,28.46,28.46,29.16,29.16,29.71,32.45,35.96,37.60,38.97,32.55,32.55,32.55,33.91
"Bhutan",99.99,99.98,99.98,99.95,99.93,99.93,99.95,99.97,99.99,100.00,100.00,100.00,100.00,99.99,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,-,97.41,97.52,97.84,97.91,97.90,98.08,97.87,99.31,99.29,99.39,99.39,99.39,99.39,99.28,99.28,99.34,99.50,99.45,99.45,99.71,99.64,99.65,99.65,99.65
"Bolivia (Plurinational State of)",51.97,56.66,55.74,48.53,50.53,43.25,43.92,43.88,41.34,39.37,34.18,33.92,32.21,33.13,27.90,29.40,20.59,25.44,29.82,36.40,35.70,38.25,36.54,-,32.81,34.33,39.44,39.28,39.21,39.21,39.20,39.82,40.19,39.84,37.33,34.84,31.88,30.68,27.62,27.77,29.90,31.64,35.46,35.71,30.51,31.55,41.17,32.65
"Bosnia and Herzegovina",48.84,48.70,48.85,39.95,46.98,47.60,43.84,33.85,33.18,40.28,47.41,29.13,29.91,41.98,34.90,33.73,31.63,23.22,34.19,36.55,29.04,38.77,32.04,-,40.72,40.72,40.72,40.73,41.20,41.20,41.20,41.20,41.68,41.68,43.62,43.65,43.67,42.80,43.02,43.12,40.81,40.62,41.63,42.20,42.49,43.53,44.10,44.45
"Botswana",-,-,-,-,-,-,-,-,-,0.01,0.04,0.06,0.29,0.25,0.12,0.11,0.19,0.18,0.17,0.18,0.26,0.25,0.23,-,-,-,-,-,-,-,-,-,-,0.01,0.06,0.05,0.51,0.54,0.20,0.23,0.36,0.37,0.40,0.64,0.64,0.68,0.68,0.68
"British Virgin Islands",-,-,-,-,-,-,-,-,-,-,0.57,0.80,0.78,0.79,0.81,0.81,1.36,1.75,1.92,2.02,2.04,2.18,2.32,-,-,-,-,-,-,-,-,-,-,-,1.00,1.06,1.06,1.08,1.18,2.66,2.99,2.21,2.23,2.76,3.13,3.50,3.55,5.01
"Brazil",89.49,84.29,85.74,87.17,86.03,87.13,86.75,88.23,84.32,89.05,84.80,87.20,81.76,75.91,72.58,73.50,79.71,78.42,81.57,81.42,83.17,77.37,87.71,-,86.52,86.93,83.63,82.02,79.66,80.03,80.49,80.83,80.52,81.12,78.93,79.23,79.36,78.68,79.41,79.93,80.72,81.35,83.17,83.30,83.01,83.36,84.43,85.71
"Brunei Darussalam",-,-,-,-,-,-,-,-,-,-,0.02,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.02,0.02,0.03,0.03,-,-,-,-,-,-,-,-,-,-,-,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.40,0.40,0.41
"Bulgaria",6.43,3.76,4.96,7.03,7.54,9.70,9.23,6.64,6.51,8.57,12.35,7.66,11.09,15.78,15.56,17.80,15.56,13.44,20.03,16.90,18.32,21.67,19.09,-,9.63,7.03,9.84,13.82,16.25,16.31,16.79,21.11,23.24,25.84,26.99,28.81,33.89,35.28,36.19,37.90,38.59,39.52,38.07,38.46,39.70,40.43,42.29,47.58
"Burkina Faso",25.17,14.71,17.48,21.57,21.47,19.49,14.74,18.21,21.97,18.93,20.83,15.52,15.64,14.71,10.72,9.79,14.81,13.09,16.86,25.17,27.87,24.40,23.79,-,40.00,40.00,40.00,17.58,15.07,13.60,12.44,12.59,12.54,12.54,13.30,10.60,9.07,13.32,11.72,11.44,11.66,20.32,23.57,21.14,21.23,19.15,23.99,35.18
"Burundi",94.50,95.09,95.51,94.56,94.08,94.48,96.29,97.07,97.25,97.11,88.46,91.88,98.15,88.27,85.60,86.27,88.44,84.23,82.34,77.42,70.28,60.09,50.27,-,90.80,90.80,90.80,90.80,90.80,90.80,90.80,90.80,90.80,90.80,90.80,77.94,78.06,72.91,72.91,73.02,73.30,51.74,51.75,51.77,51.83,54.83,60.13,60.13
"Cabo Verde",3.11,2.16,3.16,2.70,2.94,2.73,2.97,2.56,1.93,1.58,1.21,7.04,19.01,21.28,22.21,20.27,18.60,17.64,20.80,18.66,16.82,18.27,27.24,-,-,-,2.69,3.40,3.02,3.02,2.99,2.83,2.37,2.46,7.33,18.42,21.03,23.22,23.22,18.58,18.83,18.91,21.06,23.48,22.75,23.67,23.20,25.10
"Cambodia",7.10,5.45,5.35,6.43,3.89,5.05,4.93,4.33,3.99,5.30,5.18,8.34,38.64,58.90,62.04,49.86,48.40,42.52,59.40,49.03,49.62,59.11,65.76,-,5.59,5.63,6.72,6.58,7.02,5.87,6.04,6.29,6.10,6.99,7.38,39.25,45.63,61.69,64.08,58.56,57.78,55.85,63.90,61.20,56.43,58.01,56.89,58.01
"Cameroon",96.54,95.75,93.86,93.44,93.00,92.14,91.85,88.51,91.43,88.11,85.98,86.06,84.77,79.09,79.49,71.01,74.45,74.63,72.39,75.93,76.73,76.78,76.78,-,87.59,87.69,80.57,80.47,79.58,79.14,77.02,75.41,74.21,68.21,69.58,70.80,64.53,56.20,56.20,53.94,53.94,51.69,51.48,54.06,54.09,54.42,54.46,55.50
"Canada",60.62,58.05,59.90,58.93,58.45,59.85,59.55,60.26,61.35,62.98,61.26,62.46,63.62,64.04,63.13,64.01,64.84,66.51,65.89,65.81,66.98,67.48,68.98,-,61.82,61.07,61.76,61.41,62.24,61.03,61.80,62.05,62.66,62.20,63.01,64.29,65.17,65.49,66.37,67.16,67.36,67.77,68.32,68.36,68.05,68.38,69.80,69.83
"Cayman Islands",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.30,1.25,2.09,2.39,2.81,3.05,2.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.55,4.78,5.78,6.43,7.24,7.72,7.53,7.48
"Central African Republic",99.71,99.71,99.71,99.71,99.80,99.82,99.82,99.82,99.80,99.82,99.82,99.82,99.82,99.82,99.84,99.72,95.63,96.47,96.47,96.47,96.47,96.47,96.47,-,47.30,47.30,47.30,47.30,47.30,49.80,49.80,49.80,49.80,49.80,49.80,49.80,49.80,49.80,46.27,46.27,46.42,46.50,46.54,46.53,46.59,21.04,21.04,38.03
"Chad",6.60,6.97,7.06,6.54,6.00,6.92,6.92,6.10,6.32,6.90,6.86,6.61,6.72,6.86,6.97,2.80,5.35,5.20,5.24,4.79,5.31,5.68,5.81,-,6.45,6.45,6.45,1.31,1.29,1.27,1.27,1.12,1.12,1.12,1.12,1.12,0.71,0.72,0.72,0.76,1.15,1.15,1.28,1.28,1.47,1.64,1.65,1.65
"Chile",49.01,54.61,55.82,50.85,47.52,54.41,55.73,44.66,46.18,49.36,40.61,39.68,36.63,35.82,43.02,43.62,43.38,44.02,46.30,46.63,48.78,49.18,55.42,-,45.76,43.94,43.55,42.01,45.98,44.45,44.37,42.65,42.08,40.14,38.91,38.81,39.90,40.68,42.76,42.60,41.62,44.64,47.07,47.93,51.94,54.48,59.15,63.89
"China",16.45,18.78,17.46,14.90,16.10,16.04,15.44,15.12,17.49,17.62,18.54,16.61,19.94,19.99,22.47,23.75,24.78,24.96,25.27,26.46,27.62,28.15,29.66,-,23.70,23.42,23.29,23.62,23.34,22.27,20.66,20.47,22.03,23.44,24.18,25.19,26.27,28.54,30.30,31.70,33.11,35.23,36.58,37.74,40.72,42.81,45.07,49.77
